"prologue","ℹ️ Все мы что\-то слышали про информационную безопасность, но зачастую эти знания обрывочны и несистемны\. Ничего страшного в этом нет \- это то, как мы сейчас потребляем информацию из СМИ, блогов и подкастов\. Невозможно быть профессионалом во всём, но важно понимать степень своей компетентности\. n

В этом квизе мы собрали несколько стереотипных ситуаций, на которых можно будет оценить свою реакцию и сверить её с нашими советами\. Это такая разминка перед серьёзным обсуждением безопасности, которое представлено в разделе ""Самоаудит""\. "
"question1","Надо завести надёжную почту, так, чтобы никто чужой не смог получить к ней доступ\. К счастью, почтовый сервис предлагает несколько вариантов двухфакторной аутентификации\. Что выберешь?"
"answer1.1","Использовать СМС уже не модно\! Воспользуюсь сторонним аутентификатором \(например, от гугла\)"
"comment1.1","✅ Сложно, но надёжно\. Обычно аутентификатору даже необязательно иметь интернет\-соединение – а значит, код авторизации невозможно перехватить\. Программа самостоятельно выдаст необходимые коды, которые по таймеру автоматически обновятся\. Алгоритм выдачи засекречен, так что подобрать такой код практически невозможно\."
"answer1.2","СМС\. Удобно и надёжно – будет работать даже с моей любимой nokia 3110\!"
"comment1.2","❌ СМС действительно можно принять на любой телефон и ничего настраивать не придётся\. Но вот к надёжности есть много вопросов\. Даже по официальной спецификации СМС может идти к вам в течение нескольких часов\. Хуже того, по пути его могут легко перехватить и использовать вместо вас\. Доверять СМС нельзя, лучше воспользоваться специальным аутентификатором\."
"answer1.3","Не буду ничего настраивать – у меня и так надёжный пароль\."
"comment1.3","❌ Самый легкомысленный вариант\. Второй фактор придумали для того, чтобы застраховаться от кражи первого\. Каким бы ни был пароль от сайта, второй фактор добавит головной боли потенциальному взломщику\. А если это специальное приложение\-аутентификатор, взломать его будет почти невозможно\!"
"question2","Говорят, для защиты трафика нужно обязательно использовать VPN\. Что ж, убедили – тем более вон Твиттер что\-то медленно грузиться стал\. Осталось выбрать, что лучше:"
"answer2.1","Выберу заграничный ВПН с политикой отсутствия логов"
"comment2.1","✅ Надёжные VPN\-провайдеры действительно декларируют работу без логов \(no log policy\)\. Это крайне важно, т\.к\. даже в случае ареста серверов будет невозможно отследить проходящий через них трафик: они просто не хранят эти данные\. К слову, работа без логов противоречит закону Яровой, т\.е\. российские VPN\-сервисы сразу оказываются в пролёте\. 

Но, как известно, обещать – не значит жениться\. Мало увидеть на сайте заветную строчку no log\. Лучше заранее проверить у независимых эксперт\_ок, как дела обстоят на самом деле\. Можно воспользоваться обзорами специальных сайтов\-агрегаторов: местные ""параноики"" пристально следят за новостями в ВПН\-мире\."
"answer2.2","В яндексе рекламируют быстрый российский ВПН – у них ещё промоакция с 60% скидкой\!"
"comment2.2","❌ VPN\-провайдер пропускает через себя весь твой трафик и есть опасность, что на его серверах останутся какие\-то следы\. Например, логи сайтов, которые посещали клиенты\. Сопоставив эти данные с информацией от твоего интернет\-провайдера можно будет легко отследить весь «скрытый» трафик\. Надёжные VPN\-провайдеры декларируют работу без логов \(no log policy\)\. Но в условиях российской юрисдикции это противоречит «закону Яровой»\. Так что российский VPN нельзя считать надёжной защитой\."
"answer2.3","Никому не верю, сделаю всё сам – сниму виртуалку в амазоне, а инструкций по настройке пруд пруди"
"comment2.3","❌ «Хочешь сделать хорошо – сделай это сам»\. Справедливо, но в этом случае на тебя же ложатся заботы по поддержанию работоспособности сервера\. Зависания, внезапные превышения лимитов трафика, переезд между странами\-локациями сервера… Иногда оказывается проще немного переплатить и воспользоваться надёжным иностранным ВПН с политикой отсутствия логов – нервы дороже\. "
"question3","Вместо привычного сайта браузер показывает страницу с ошибкой: сертификат не подтверждён\. Что делать?"
"answer3.1","Выглядит подозрительно\. Попробую другое подключение к интернету или другой впн\. "
"comment3.1","✅ [Сертификаты SSL](https://meduza.io/cards/chto-takoe-ssl-sertifikat-on-mne-voobsche-nuzhen) – это такие «паспорта» веб\-страниц\. Браузер автоматически проверяет сертификат при открытии – и если с «паспортом» что\-то не так, бьёт тревогу\. Говоря проще, если браузер видит сертификат с ошибкой – это может быть признаком взлома\. На такую страницу нельзя ничего отправлять – данные могут утечь в чужие руки\. Но и читать эту страницу тоже смысла нет: её могли подделать вместе с сертификатом\.

Можно попытаться поменять подключение к интернету: злоумышленник может портить сертификат где\-то «посреди линии»\. Но если это не помогает, открывать страницу нельзя\."
"answer3.2","Я лучше знаю, что я делаю\! Добавлю сертификат в исключения и открою страницу"
"comment3.2","❌ [Сертификаты SSL](https://meduza.io/cards/chto-takoe-ssl-sertifikat-on-mne-voobsche-nuzhen) – это такие «паспорта» веб\-страниц\. Браузер автоматически проверяет сертификат при открытии – и если с «паспортом» что\-то не так, бьёт тревогу\. Говоря проще, если браузер видит сертификат с ошибкой – это может быть признаком взлома\. На такую страницу нельзя ничего отправлять – данные могут утечь в чужие руки\. Но и читать эту страницу тоже смысла нет: её могли подделать вместе с сертификатом\. Можно попытаться поменять подключение к интернету: злоумышленник может портить сертификат где\-то «посреди линии»\. Но если это не помогает, открывать страницу нельзя\."
"question4","Нужно быстро зашифровать важный файл\. Что делать?"
"answer4.1","Каждому делу – свой инструмент\. Воспользуюсь VeraCrypt"
"comment4.1","✅ Да, это самый надёжный вариант – хотя может быть не самый простой\. Если же под рукой ничего подходящего нет, можно использовать архиваторы RAR и 7Zip \(обязательно проверить, что метод сжатия  \- не zip\!\) с шифрованием имён файлов\. "
"answer4.2","Добавлю в архив zip с паролем"
"comment4.2","❌ Хорошая попытка, но нет\. В алгоритме шифрования zip есть уязвимости, которые позволяют сбросить пароль любой сложности за несколько минут\. Если нет желания разбираться со сложным шифрованием, можно использовать *7zip с паролем* – но обязательно убедись, что сжатие выполняется методом 7zip, а названия файлов тоже зашифрованы\. Хотя и это не сопоставимо с возможностями профессиональных программ для шифрования вроде VeraCrypt"
"answer4.3","Установлю пароль на документ Word"
"comment4.3","❌ Шифрование в MS Office никогда не было сильной стороной\. В последних версиях используются надёжные алгоритмы, но можно ошибиться с версией офиса или попасться в ловушку «режимов совместимости» со старыми версиями\.

Лучше не рисковать и использовать проверенные методы: профессиональное шифрование \(VeraCrypt\) или надёжный архив \(RAR, 7Zip, *но не Zip\!*\) с паролем"
"question5","Нужно анонимно скачать важные данные \- так, чтобы не оставить никаких следов\. Что сделаешь?"
"answer5.1","Воспользуюсь своим обычным интернет\-подключением в паре с надёжным VPN или ТОР\."
